water_outlet,bearing,ambient,rotor,endwind_1,endwind_2,slotside,slotopen,activewind_1,slotbottom,activewind_2,outer_yoke,endcap,Torque,IdRef,IdFbk,IqRef,IqFbk,speed,Ud,Uq,Pele_PI
19.8,20.4,21.7,22.225,22.6,21.8,22.4,21.5,21.8,21.7,22,22.2,22.2,1.0869,-0.749376,-0.525639,-1.368948,-1.202548,1.770607,0.247415,-0.460778,1.242982
19.8,20.4,21.7,22.225,22.3,21.4,21.9,21.1,21.6,21.5,21.8,22.1,22.2,0.84639,-0.733789,-0.273377,-1.140397,-0.618895,0,0.024642,-0.66282,-0.195775
19.8,20.4,21.7,22.225,22.3,21.4,21.8,21,21.3,21.6,21.5,22.4,22.7,0.90027,-0.738543,-0.269643,-1.271862,-1.86157,0,-0.158953,-0.417028,0.546645
19.9,20.4,21.7,22.225,21.9,21,21.5,20.7,21.2,21.6,21.5,22.4,22.7,1.0139,-0.772964,-0.971109,-1.258278,-1.342729,0,-0.136456,-0.165429,0.556916
19.8,20.4,21.8,22.2275,21.6,20.9,21.5,20.7,21.3,21.7,21.7,22.5,22.9,1.0758,-0.76515,-1.281855,-1.304617,-1.577886,0,-1.001249,-0.285569,1.405509
19.8,20.4,21.8,22.23225,21.8,21,21.7,20.9,21.5,22.1,21.9,23,23.4,0.95122,-0.572003,0.248191,-1.364012,-0.474038,0.61866,1.300878,0.003695,-8.229326
19.9,20.4,21.8,22.236525,22.2,21.3,22,21.3,21.8,22.2,22.3,22.9,23.2,0.89592,-0.818538,-0.363087,-5.166482,1.092126,4.207323,-1.149317,-0.425851,3.954371
19.9,20.4,21.9,22.2403725,22.2,21.5,22.5,21.7,22.4,22.3,22.7,22.8,22.8,0.65329,-0.063554,-2.559227,7.69995,12.4728,0.013014,0.221867,0.18653,0.237022
19.8,20.4,21.9,22.24133525,22.3,21.8,22.6,21.8,22.3,22,22.6,22.8,23,-0.14227,-1.865452,-3.204245,-7.492372,-0.318131,5.195224,-0.17735,0.774018,-0.045927
19.8,20.4,21.9,22.23970173,22.3,21.7,22.5,21.9,22.2,22,22.5,22.7,22.9,1.2768,-0.711248,-1.551408,0.476158,0.081499,1.190732,0.048337,0.185817,-0.028439
